text,sentiment
হায় না বলে আসসালামুআলাইকা।,negative
আপু ফ্রিল্যান্সিং কাজের জন্য কি কি ইংরেজি বলতে হবে একটা ভিডিও দিপ প্লিজ,neutral
"আদাব মেম,আমার বাচ্চা ৭ম শ্রেণীতে পড়ছে, ও ইংরেজিতে খুবই দূর্বল,আমি আপনার কোন ক্লাস গুলো প্রাথমিক ভাবে উৎসাহিত করবো?পরামর্শ দিবেন প্লিজ মেম?",neutral
আসসালামুয়ালাইকুম আপু কেমন আছেন,neutral
আগের ভিডিও নতুন করে।,negative
আপুকে দেখে অবাক হই,positive
"আফু আপনার বইটার নামকি একটু বলবেন pelase,এবং এটা কোথায় পাবো",neutral
আমি অনেক কেঁদেছি এটার ইংরেজি কি ভাইয়া??,neutral
এটা কি নিজেকে Introduce করার ভিডিও না Conversation?,negative
"আচ্ছা spoken engilsh মানেই কি শুধু বাক্য মুখস্থ করে english শেখা। না spoken english এ বর্ণ,শব্দের উচ্চারণ সবকিছুই শেখানো হয়। ইউটিউব এ সার্চ দিলেই শুধু দেখা যায় এই পরিস্থিতিতে কিভাবে কথা বলবেন ওই পরিস্থিতিতে কিভাবে কথা বলবেন এসব ভিডিওতে পুরো ইউটিউব সয়লাব হয়ে আছে। আমি যদি উচ্চারণ সঠিক ভাবে না পারি তাহলে বাক্য মুখস্থ করে কি করব। আমি সঠিক জানিনা তাই জানতে চাইলাম। দয়া করে উত্তর টা দিয়েন।",neutral
আপি আমি আপনার প্রতেকটি ভিডিও ক্লাস করতে চাই এর যনো আমাকে কি করতে হবে।আমি কোন ভাবেই মিস করতে চাই না আপনার ক্লাস plzz আমাকে বলেন,neutral
অামি ইংলিশ স্পোকিং শিখতে চাই... কোর্স ফি কত...ভর্তি হওয়ার প্রসেসটা কি?,neutral
কোর্স কত করে,neutral
প্রথম ক্লাসে অংশগ্রহণ করতে পারে আপনাকে ধন্যবাদ,positive
আপু তুমার ভিডিও টা খুব ভালো লাগলো।। এতো সুন্দর করে। আমাকে কখন৷ মনে হয় না। ইংরেজি। সিখিয়েছে। তাহলে হইতো। আমি আর ইংরেজি তে ফেল করতাম না। 🫣,positive
আপু আমি ক্লাস করবো,positive
আপু আমি কেলাচ করব কিভাবে,neutral
মহান আল্লাহ আপনার সকল মনের আশা পূরন করুক।আপনার এই উপকার কখনোই ভুলবোনা।,positive
এক বছর পর আবার দেখলাম ভালোই লাগে ️️....,positive
"আরজে কিবরিয়া ভাই এর অনুষ্ঠান থেকে মুনজিরেনের প্রথম ভিডিও দেখতে আসলাম কত অল্প সময়ে মেয়েটা জনপ্রিয়তার শীর্ষে পৌঁছে গেলো। এর এর পিছনে কারণ গুলো আমার কাছে মনে হয় অধ্যবসায়, সুন্দর উপস্থাপন, সহজ ও সাবলীল ভাবে মানুষকে বোঝানো ও মন ভুলানো হাসি দোয়া করি আল্লাহ তার মেধা বাড়িয়ে দিক",positive
মা শা আল্লাহ আল্লাহ তায়ালা আপনাকে ইসলামের জন্য কবুল করে নিন আমিন,positive
"শুভকামনা রইল এনাদের জন্য। এত কম ভিউয়ের পরেও গুটিকয়েক মানুষের জন্য ইনারা তাদের কার্যক্রম চালিয়ে যাচ্ছেন। ""Never stop Youtubing""",positive
আপনাকে অসংখ্য ধন্যবাদ,positive
শিখা হইয়া গেছে Not For Mind Have A Relex,positive
অপেক্ষারত আছি।আমার জন্য এই ক্লাশ আশাকরি বেশি লাভজনক হবে।,positive
"পশ্চিবঙ্গ থেকে ভালোবাসা নিয়েন দিদি️ আজকেই আপনার, আয়মান দাদা আর অপার দাদার সাক্ষাৎকার দেখলাম কিবরিয়া দাদার অনুষ্ঠান এ বাংলাদেশের প্রতি বরাবরই অনেক আগ্রহ আজ আরও বেড়ে গেলো",positive
আমিন ৷ বিদেশে আছি দেখে অনেক ভাল লাগল,positive
সত্যিই অসাধারন,positive
মাশাআল্লাহ,positive
আপনার ভিডিও খুবই গুরুত্বপূর্ণ আর উপকারী।আপনাকে অশেষ ধন্যবাদ।ভালো থাকবেন।,positive
খুব সিম্পল মধ্যে অসাধারণ আমাদের এই কিউট আপুটা।আল্লাহ ভালো রাখুন সবসময়।,positive
Munzereen Shahid আপনাকে অনেক অনেক ধন্যবাদ আপনি অনেক সুন্দর করে বুঝাতে পারেন।,positive
আমি ভালো বাসি আমাদের নবী কে আমিন,positive
"আমি বর্ষা খাতুন,আমিও আপনার সঙ্গে এক মত আমিও আরও বেশি করে ইংরেজিতে পরিচয় দিতে চায় আর আমার পক্ষ আপনাকে অনেক ধন্যবাদ",positive
মাশাআল্লাহ আপু অনেক সুন্দর করে বুজিয়ে দিলেন।,positive
অনেক অনেক ধন্যবাদ,positive
আপু আপনার ভিডিও গুলো না দেখলে জীবনে অনেক কিছুই অজানা থাকতো......,positive
আপনার উপস্থাপনা ভালো লাগে,positive
অনেক ধন্যবাদ আপু খুব ভালো ভাবে শিখিয়েছেন এমন আরো ভিডিও নিয়ে আসবেন,positive
কে কে rj kibria এর interview দেখে এখানে এসেছেন?,neutral
ভালো লাগলো ধন্যবাদ আপনাকে,positive
অনেক ধন্যবাদ । অনেক উপকৃত হলাম । আপনার ক্লাসগুলি দেখতে থাকবো ।,positive
ধন্যবাদ বাচ্চাদের ইংরেজি শেখানোর জন্য,positive
যে ঘড়ে শিক্ষিত মা-বাবা আছে & সাপোর্ট আছে শুধু ইংলিশ নয় সে অনেক কিছুই পারে।,neutral
"Im a new student of your class. Iread in class 7. Really, you teaches very nicely.",positive
আসসালামু আলাইকুম আল্লাহ্ ও তার প্রিয়তম হাবীব সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম রহমতে উছিলায় সকলকে নিয়ে সহিসালামত সুস্থ ও ভালো আছেন নিশ্চয়। ক্ষমা চেয়ে নিচ্ছি প্রথমেই।আমার প্রশ্ন হলো শব্দ ভাণ্ডার মনে রাখার জন্য সহজ পদ্ধতি গুলো কি? এবং কিভাবে আরও সহজে ইংরেজি ভাষায় কথা বলা যায় তার কোশল গুলো জানালে খুবই উপকৃত হবো। আপনার শিক্ষা পদ্ধতি খুবই ভালো লেগেছে।তার পরও একজন শিক্ষার্থী হিসেবে আমার অনুরোধ খানি ক্ষমাসুন্দর দৃষ্টিতে বিচার বিবেচনা করিবেন। শুভেচ্ছা নিবেন ।,positive
অসাধারন,positive
দোয়া ও শুভকামনা আর ভালোবাসা রইল।,positive
"আমি ইংরেজিতে কথা বলা শিখতে চাই, তাই ১০ মিনিট স্কুল আমার কাছে প্রিয়।",positive
নাইস আপু।এরকম একটা ক্লাস উপহার দেওয়ার জন্য।,positive
আপনার ভিডিও গুলো অনেক সুন্দর । এরকম ভিডিও কে আমার সোনার বাংলা চ্যানেলের পক্ষ থেকে অন্তরিক শুভেচ্ছা ও অভিন্দনFj,positive
"ভালো লাগলো, আজ থেকে আপনি আমার ইংরেজি শিক্ষক",positive
আপু আপনার স্কুল এ ক্লাস করে আমরা খুবই উপকৃত হয়েছি।Thank you so much.,positive
আপু আপনার ভিডিও দেখে আমার খুবই ভালো লাগলো,positive
আপনাদের অ্যাপস এ দাখিলে আরবি সাবজেক্ট গুলো থাকলে ভালো হতো,neutral
অনেক ভালো লাগেছে আপু,positive
আমাদের মত ছোটদের English বলাটা আর একটু সহজ করে শেখানো যায় না?,negative
দারুণ সুন্দর পড়াশোনা আলহামদুলিল্লাহ টিপু সুলতান চট্টগ্রাম,positive
মানুষ এত মায়াবী হয় কি ভাবে,positive
মাশাল্লাহ আপনাকে আল্লাহ তালা বাল করুক,positive
"Rj কিবরিয়ার ইন্টারভিউ দেখে কে কে আসছেন, হিট দ্যা লাইক",neutral
রবিকে অনেক ধন্যবাদ।,positive
আপু ক্লাসটা খুব ইইই ভালো লাগলো আমার ইংলিশে কথা বলতে ইচ্ছে করে। কিন্তু ইংলিশ কে এত ভয় পাই যে ট্রাই করি নাই কখনো। এখন থেকে শুরু করবো ইনশাআল্লাহ। ধন্যবাদ আপু। এত ভালো একটা ক্লাস দেয়ার জন্য।,positive
indirectly উনি কিন্তু dialogue লিখার নিয়ম টা বলে দিয়েছে!,neutral
আপনার সব কিছুই বেশ ভালো লাগে।,positive
আপ্পি আপনার চশমাতে কিন্তু অসাধারণ লাগে,positive
আপনার প্রকাশভঙ্গি আর বলার দক্ষতা খুবই অসাধারণ । মনে লাগার মতো,positive
"আমি এই ভিডিও দেখি ইংরেজি শিখার জন্য না আপু,শুধু আপনাকে দেখার জন্যে।আপনাকে আমার খুব ভালো লাগে।You are so cute!!!!",positive
আপু দোয়া করবেন আমি যেন আপনার মতো ইংরেজি বলতে পারি।,positive
"সত্যি ই খুব অসাধারণ সুন্দর প্রতিভা আপনার, খুব ভাল লাগে আপনার পিসিঊট",positive
আপনার উপস্থাপনা খুব ভাল লাগে বোন। হিজাব পড়লে আরো ভাল হবে। দুয়া রইল।,positive
Thank you so much Apu হ্যাঁ আপু আমিও চাই কনভারসেশন টা আরেকটু কন্টিনিউ হোক।,positive
আপু আপনার সব কিছু অনেক ভালোলাগে,positive
থ্যাংক ইউ আপু আপনি অনেক সুন্দর ভাবে ক্লাস টি বুঝানোর জন্য।,positive
আল্লাহ গো কত্ত কিউট তুমি,positive
আপু তুমাককে অনেক ভালো লাগে ️,positive
"কিভাবে বায়ারদের সাথে কথোপকথন করতে হয় ইংরেজীতে এ রকম একটা ইজিলি ভিডিও দেন,, আপু!!",neutral
অনেক সুন্দর হয়েছে আপু।,positive
আসসালামু আলাইকুম আপু আমি আপনার চ্যানেলটি সাবস্ক্রাইব করেছি। আমি ইংলিশে কথা বলা শিখতে চাই আমি টোটালি ইংলিশে কথা বলতে পারিনা এবং কি বুঝিনা । প্লিজ আপু কিভাবে বললে আমি ইংলিশ শিখতে পারবো।,neutral
এটা কি মুনজেরিন আপুর ১ম ভিডিও? অসাধারণ।।।,positive
"আপু এরকম তোমার আরো ভিডিও চাই,,,,",positive
অনেক ধন্যবাদ আপু আপনাকে ️️,positive
আপনার বই পেইছি । খুবি ভালো,positive
আপু আপনিতো অক্সফোর্ডে পড়ছেন৷ তো আপনি কি এখন ঐ দেশের নাগরিত্ব লাভ করেছেন নাকি আবার দেশে আসতে হবে ৷ আর স্টুডেন্ট ভিসায় গেলে কি নাগরিত্ব লাভ করতে পারে ???? এই বিষয়ে একটি ভিডিও দেন প্লিজ!!! প্লিজ প্লিজ,neutral
আপনাকে দেখলে কান্না আসে । আমি কেনো আপনার মত ইংলিশ বলতে পারিনা ??,positive
এই ভিডিওটা দেওয়ার জন্য ধন্যবাদ।,positive
আপু আপনাকে অনেক ধন্যবাদ,positive
excellent............... its helpful for everybody........ ম্যাম আমার মনে হয় একটি গ্রুপ করে আমরা যদি সবাই দিনের কিছু সময় কথা বলি er so helpful i think............... what u think pls,positive
"আরে ভাই রে এমন ইংলিশ টিচার স্কুল এ থাকলে,কবে ইংলিশ শিখে ফেলতাম....মজা করলাম আপু ভিডিওটা ভালো হইছে,",positive
অসংখ্য ধন্যবাদ,positive
"আপু আমি ইংরেজীতে অনেক দুর্বল, আজকের ভিডিও দেখে মনে হচ্চে আমি পারবো ইংরেজিতে কথা বলতে,, আজকে তাকি পতি দিন আপ্নার ভিডিও দেখবো।",positive
প্লে লিস্ট এ আপুর আরোও ভিডিও চাই ৷,positive
আমি একদম শুরু থেকে এই ১০ মিনিট ইংলিশ ক্লাস টি জয়েন করতে চাই। আমি কিভাবে তা করতে পারব? অনলাইন এর মাধ্যমে। দয়াকরে জানাবেন কি?,neutral
আমি Rj Kibria ভাইয়ের অনুষ্ঠান দেখার পর তোমার প্রত্যেকটা কথা follow করে চলছি।এককথায় বলতে গেলে আমি তোমার follower.,positive
আপু তোমাকে আরজে কিবরিয়া ভাইয়ার অনুষ্ঠানে দেখেছি তোমার হাসিটা খুবই সুন্দার লাগে,neutral
মজার বিষয় হলো আমার নামটা বার বার বলতাছে। আমার কাছে খুব ভালো লাগলো।,positive
আপু আপনিপ যেমন সুন্দর এবং আপনার কথা গুলো ও বুঝানো,positive
অনেক ভাষায় দক্ষতা অর্জন করা ভালো দিক। তাই ইংরেজির পাশাপাশি অন্যান্য ভাষায় কথা বলতে শিখুন,neutral
এই কনভেনশন চালিয়ে যান।,neutral
আসসালামু আলাইকুম আপু আমি আজকে প্রথম যদি ক্লাসে লেখার ব্যবস্থা থাকতো তাহলে ভালো হতো,neutral
"তো word meaning খুব ভালোভাবে জানতে হবে, তাই তো??",neutral
ধন্যবাদ শুভকামনা সবসময় ।,positive
আপু অনেক ধন্যবাদ,positive
ম্যাম যদি playlist করে দিতেন সুবিধা হত।।।,neutral
"বোন আপনার শিখানোর ধরণটা খুবি সুন্দর এবং পছন্দনীয়, আপনার ভিডিও দেখে অনেক কিছু শিখতে পারি আপনাকে অনেক ধন্যবাদ, কিন্তু বোন আপনি যদি নিজেকে আরেকটু সুন্দর করে পরিবেশন করতেন তাহলে আরো সুন্দর লাগতো, আইমিন যদি হিজাব পরে ভিডিও গুলো করতেন তাহলে আপনাকে আরো ভালো লাগতো, অবশ্যই আপনার মুখ দেখা আমাদের পুরুষদের জন্য হারাম, প্রিয় বোন বিষয়গুলো ইকটু চিন্তা করবেন, আল্লাহ আপনাকে দ্বীনের জন্য কবুল করুন আমিন",positive
অন্য কারো সাথে বলতে নার্ভাস ফিল হয় next ভিডিও টা এই টপিকের ওপর করলে উপকৃত হতাম।,neutral
অসাধারণ উপস্থাপন,positive
"সরি আপু কিছু mind করেন না,কিন্তু ক্রাশ খাইছি",positive
অসাধারণ।,positive
আপু আপনার কথা পারফেক্ট হয়েছে,positive
আপু আপনে অনেক ভাল কথা বলেন।,positive
"আপু ভালো ভিডিও, কিন্তু একই কথা বার বার বলে ভিডিওটি বড় করবেন না,",neutral
খুব সিম্পল মধ্যে অসাধারণ আমাদের এই কিউট আপুটা,positive
"Hello cute friendকমা নিয়ে একটা বিডি বানাবেন please যেমন এসব কোন সময় লিখতেই হবে ? . ! ? , এসব নিয়ে please",neutral
অনেক কিছু শিখতে পারছি আপু next আরো ভালো ভিডিও দিবেন অনেক অনেক দোয়া রইল আপনার জন্য,positive
আপনার ভিডিও খুব ভালো লাগে আপু সহজে বুঝা যায় নতুন সাবস্ক্রাইব করলাম আশাকরি সবসময় পাশে থাকবেন অসংখ্য ধন্যবাদ আপনাকে,positive
সেকেন্ড ভিডিওর জন্য অপেক্ষায় থাকলাম আপু,neutral
"Spoken english এ ক্লাস i mean ( online class) টা আমি কিভাবে শুরু করবো?? কোথাও কি অ্যাড হতে হবে? আমায় একটু ডিটেল্স বলবেন প্লিজ আপু,",neutral
আপনাকে দেখার পর আগে যা পারতাম তাও বুলে গেছি,negative
টেন মিনিট স্কুলের কোর্স সম্পর্কিত যেকোনো জিজ্ঞাসায় কল করুন 16910 Download the App: https://10ms.io/4wruUN,neutral
ধন্যবাদ,positive
"নিয়মিত ইসলামিক ওয়াজ, গজল ও কোরআন তিলাওয়াত এর ভিডিও পেতে আমাদের চেনেলটি ঘুরে আসুন।",neutral
ধন্যবাদ,positive
৩:৩২ সেকেন্ডে সিলেটি বাক্য...,neutral
আপু ৩য় শ্রেণির ইংরেজি বই এর কিছু ভিডিও দেন। Please.,neutral
মাশআল্লাহ অনেক ভালো লাগলো আমিও তোমার মতো ইংলিশে কথা বলতে চাই আমার দ্বারাই কি সম্ভব আপু । আমাকে কি ছোট ভাই করে নিবা আপু,positive
অসংখ্য ধন্যবাদ আপুকে,positive
নিজেকে বাচ্চা বাচ্চা লাগলো কি ধরনে বাক্য শিখাচ্ছিল উনি!,negative
আপু একটু preposition নিয়ে আলোচনা কর ক্লাস 6 Theke pre ashchi vul r vul,neutral
RJ Kibria ভাইয়ের প্রোগ্রামে আপনাকে দেখেই আপনার প্রথম ভিডিও দেখতে আসলাম মেম। আপনি সত্যি অনেক ভালো। ঠিকেই বলেছিলেন পিছনে শ্যাম্পুর বোতল আরো কত কি। তাও আপনিই সেরা।,positive
"ম্যাম- অবিরাম আপনার ক্লাস করতে চাই""",positive
আপু আমি কোনো ইংরেজি বললে আমি নিশ্চিত হতে পারিনা যে আমি যা বলেছি তা সঠিক। এজন্য কি পরামর্শ আছে।,neutral
i am fine না বলে Alhamdulillah বেশী ভালো,negative
শুনে খুব ভালো লাগলো আমি শিকতে চাই,positive
"আপু কখন কোন জায়গায় is আর 's ব্যাবহার করতে হবে? প্লিজ,বলে দিবেন?",neutral
আপু আপনি যা বলেন তা নিচে লেখা উঠে এটা ভালো।আপনার ভিডিও অনেক ভালোলাগে আমার।লগডাউন এ ভালোই লাগে ভিডিও দেখে ইংরেজি শিখছি,positive
আমরা অনেকেই আছি আপু ইংরেজি কিছুই পারি না এখন আমি কি করবো কিভাবে আমি এখন নিজেকে শুধরাইতে পারি।,neutral
আমি English টা বুঝি কিন্তু বলতে গেলে কথা জড়িয়ে যায় এখন উপায় টা কি?,neutral
"ম্যাডাম, আমি,,আপনার নিউ স্টুডেন্ট, আমার,নাম,রাসেল,,",neutral
আমার মেয়ের বয়স ১০ বছর। আমি চাই ও ইংরেজিতে দক্ষ হোক। আমি গাজীপুর থাকি। অনলাইনে কি কোন কোর্স করানো হয়???,neutral
ভাই ঘর থেকে বাইরে অাসেন সব সময় একি জায়গায় থেকে বোরিং লাগছে।,negative
আপ্পি আপনে কত সালে ঢাকা বিশ্ব বিদ্যালয় ১ নাম্বার ছাত্রী ছিলেন।,neutral
আপনারা কে কে ইংরেজিতে উন্নতি করতে চান???,neutral
যাদের একটু কমনসেন্স আছে তারা তার থেকে আরো ভালো ভাবে বলতে পারবে অজথা ভিউ বারানুর জন্য মানুষ কি না করে,negative
সুন্দর একটা পোজ দেন স্ক্রিটশট নিয়ে মাইডে দিবো,neutral
"আসসালামু আলাইকুম, আপু আপনার স্পকেন ইংলিশ বইটি ডাউনলোড করার জন্য লিংকে গিয়েছিলাম, যা যা করার কথা বলেছে তাই করেছি যেমন নাম, নাম্বার ,ইমেইল ইত্যদি বাট বিকাশ থেকে টাকাও কেটে নেয়া হয়েছে কিন্তু বইটি ডাউনলোড হয়নি, ,,যদি একটু হেল্প করতেন,খুব উপকৃত হতাম",negative
ভিডিও টা এক ঘন্টার হলেও বোরিং লাগতোনা আফু,positive
"আপু ঠিক এভাবে আরো কয়টা ভিডিও কর,, এটা শিখলাম",positive
আপু আমি ইংলিশে এ কথা বলতে চাই। বাট পারতাচি না। এখন আমি কি করতে পারি...?,neutral
"আপু , 'what's your name ' জিজ্ঞেস করার পর যদি উত্তর না দিয়ে চলে যায় তখন কিভাবে conversation আগাবো?",neutral
আপু আমি ক্লাস 5 পড়ি আমার খুব ভয় লাগে ইংরেজি বলতে আমাকে প্লিজ সাহায্য করবেন এটা শিখতে,neutral
"ইংলিশ শেখাবেন ভালো,,, সমকামিতা শেখাচ্ছেন কেন।।। আপনাদের 10 মিনিট স্কুল সমকামিতা শিখাচ্ছে।",negative
আমি ঘরে বসে spoken English course টি ক্রয় করেছি। কিন্তু আমার কোর্সটি আমি কোথায় পাবো জানালে খুব ভালো হতো,neutral
আন্টি আমি তাফিদা করিম রাহা। আমি পঞ্ছম শ্রেণীতে পড়ি। আমি 10 minute school এ জয়েন করতে চাই। how to join?,neutral
আপু অনেক ভালো করে আপনি ইংলিশই কান আপনাকে অনেক অনেক ধন্যবাদ,positive
ইনশাহ আল্লাহ্,positive
আপু আমার মেয়েকে কি অন লাইন class করানো যাবে আপনার কাছে,neutral
আমাদের দেশে ইংরেজিটা খুব জরুরী কারণ দেশের ভাইরে গেলে। ভালো একটা কাজের জন্যা গেলে বলতে পারিনা তখন আর চাকরিটা পাইনা আমি শিখতে চাই ইংরেজি,neutral
"যথেষ্ট জনপ্রিয় কিবরিয়া ভাইয়ের চ‍্যানেল থেকে আপনাকে দেখে, প্রথম বারের মতো আপনার ছাত্র হলাম, তাও শুধুর ভারত থেকে।।",neutral
বার বার এক কথা বলে English bolar style ta spoil korsen.. Problm ta soby jane..just solve korun,negative
"ক্লাস ১/২ এর পরিচয় দেওয়া হচ্ছে..? সারাজীবন ডায়লগ শিখলাম, এইগুলা প্যক্টিক্যল লাইফে প্রয়োগ করলে অন্তত কিছুরা স্মাটলি কথাবার্তা বলা যাবে। ধন্যবাদ।",neutral
অনেক ধন‍্যবাদ...,positive
"ইংরেজি দুরের কথা বাংলায় অন্য লোকের সাথে গুছিয়ে কথা বলতে পারিনা ,",neutral
আপনি অপ্রয়োজনীয় কথা বেশি বললেন ভিডিওটা তে,negative
আমার মনে হচ্ছিল খুব চেনা লাগছে আপুকে নামটা সুনে বুঝলাম জীবন গল্পে। সুনেছি।,neutral
খুব ভালো লাগচে আপা,positive
আলহামদুলিল্লাহ,positive
দারুন আপু।,positive
আপু আমি ইংরেজি শিখায় নতুন। আমি Class 7 এ পরি। আমি ইংরেজি শিখতে চাই। এর জন্য আমি কোথা থেকে শুরু করবো বুঝতে পারছি না একটু সাহায্য করবে। আমার যা মনে হয় আমি ইংরেজি শিখায় নতুন এবং পিছিয়ে।,neutral
মাইন্ড না করলে মুনজেরিন আপুর কোয়ালিফিকেশন ব্যাকগ্রাউন্ড সম্পর্কে জানতে চাই। জাস্ট জানার উদ্দেশ্যে জিজ্ঞেস করলাম।,neutral
চাকরূর ইন্টারভিওতে নিজের সম্পর্কে বলতে বলে।সেখানে কিভাবে বললে সুন্দর হবে সে নি একটা ভিডিও বানাবেন প্লিজ।,neutral
প্রাইমারি লেভেলেই তো এসব জেনেছি,negative
আপনার ভিডিও অনেক ভালো লাগে তাই বাসায় ওয়াইফাই নিয়ে আসছি,positive
"আমার মত কে কে আর যে কিব্রিয়া ভাইএর সো দেখে এসেছেন৷।,,,...????তবে আপু খুব ভাল ভাবে বুঝায় এবং খুব সাদা মনের মানুষ আপুটা",positive
আরো শিখতে চাই আপু,neutral
ধন্যবাদ আপনাকে,positive
"আমি বেশ কয়েকদিন আগে ইংলিশ কোর্স এ এনরোল করেছিলাম, অনেকদিন যাবত অ্যাপ ঢোকা হয়নি এখন অ্যাপ এ ঢুকে দেখি যে নাম্বার থেকে একাউন্ট করা ছিলাম সেটি ভুল দেখাচ্ছে আবার নতুন করে একাউন্ট খুললাম, এখন আমি আগের পোস্টটা কিভাবে পাব?",neutral
"আপু অনেক অনেক ভালো করে এবং খেয়াল করে, গুছিয়ে বলতে পারেন।। আলহামদুলিলাহ।। অনেক অনেক এগিয়ে যাবেন।।। আমি আপু আপনার জন্য শুভকামনা রইলো",positive
️️️️️️️,
তোমার হাসি অনেক সুন্দর,positive
ধন্যবাদ আপু,positive
ধন্যবাদ,positive
আপু আপনি কি পর্যন্ত পড়ালেখা করেছেন,neutral
"কিভাবে বায়ারদের সাথে কথোপকথন করতে হয় ইংরেজীতে এ রকম একটা ইজিলি ভিডিও দেন,, আপু!!",neutral
আপু ধন্যবাদ,positive
আপু আমি ইংলিশে কথা বলতে চাই কিন্তু পারি না। আপনার কাছ থেকে শিখে নিতে চাই। আপনি অনেক সুন্দর করে বুঝিয়ে দিচ্ছেন,positive
এগুলো তো class 4 এর বইয়ে পড়ছি,negative
"আসসালামু আলাইকুম, আর যে কিবরিয়ার অনুষ্ঠানে প্রথম ভিডিওর কথা উল্লেখ করেছেন, সেটা কি এটা, যদি না হয় অনুগ্রহ করে লিঙ্ক টা দিবেন, আপনার শুভ কামনা |",neutral
আলহামদুলিল্লাহ,positive
জীবন গল্প থেকে আসছি,neutral
আপু আপনাদের ফ্রী ভিডিও দেখে কি ইংরেজিতে কথা বলতে পারবো,positive
আপু আপনা কে ধন্যবাদ,positive
আমাদের প্রিয় আপু,positive
অনেকে বলে আপনার স্পোকেন ভালো তাই শুরু করলাম।২০২২,positive
খুব ইচ্ছে করে ইংরেজিতে কথা বলব। কিন্তু পারি না অনর্গল কথা বলতে,neutral
আপু sent এর অর্থ কী,neutral
আমিতো অপরিচিত মানুষের সাথে কথাই বলি না।,neutral
তুমি খুব ভালো পড়াও,positive
আপু Too=টু হবে নাকি ঠু???,neutral
আমি চায় ইংরেজি কথা বলা শিখতে,neutral
আপু আপনার ফেসবুকে ফেইজ বাহ গ্রুফ থাকলে লিঙ্ক টা দিবেন দয়া করে!,neutral
আপু আপনার কন্ঠ টা খুব বেশি সুন্দর,positive
"আপু আমি তানজিম নরসিংদী থেকে আমিও আপনার থেকে ইংরেজি শিখতে চাই,,, আমি কিবরিয়া ভাইয়ার ভিডিও তে আপনাকে দেখে আগ্রহী হয়েছি,,,",positive
"বই কিনতে চাই,প্লিজ হেল্প",neutral
ম্যাম আমি আপমার প্রতিটি ক্লাস লক্ষ করি এবং ভালো কিছু শিখছি,positive
আপনার দৃষ্টি ভঙ্গি অসাধারন আপু,positive
ইংরেজিতে কথা বলা শেখার জন্য কোথায় কোর্স করলে ভাল হবে একটু সাজেশন দিবেন কেউ।প্লিজ খারাপ ভাবে নিবেন না বা খারাপ কমেন্ট করবেন না কেউ।,neutral
