text,sentiment
kaw ki bolben ja vorte hobo kamne,positive
Ami,positive
Tushar Roy,positive
Hi mamma,neutral
too mane jodi amio hoi tahola I mane ki,neutral
Kivabe english e sex korar proposal korbo?,neutral
Rman tha ka,neutral
What the,neutral
vorti hobo kamne,positive
"Apnar ei video ta dekhe amar english spoke aro onek developed hoice, thank you, thank you so much.",positive
Apu tomar English valo lagse.Thank you,positive
Mam apni khub bhalo kore English sikhane Thank you so much ️,positive
Apu onek sondur Apnar kotha golo khob valolage apu,positive
Thanks you so much apu. Onk valo lagca apnir English gulo,positive
Apu apnar class ta onak vlo lagsa thank you ️,positive
Shahid apike amar onek vlo lage️️️️️️,positive
Apu apnar classta khub valo apni ekjon valo teacher,positive
Thanks apu apner class gulo khub bhalo lage.,positive
"Aapu, apnar pronunciation guloO apnar motoi smart R apar choshmar frame ta amar khub bhalo legeche",positive
Just wow madam Ato din apnar class dile English ta shikhe nite partam,positive
Joss appi,positive
Alhamdulillah allah aponake agiye jawar tawfik din amin,positive
Apu apnar jonno youtube e dhukte parina youtube e dhuklei Abbu ammo bole internet ke valo kaje laga munjariner video dekh Btw GOOD,positive
Amar to sobsomoy spelling e somossa hoy!!,neutral
"Apu onk cute,,Kotha bolar Style onk sondor",neutral
Apu i love u ami tomr kac thika onak English sikbo In Sa allah,positive
"Thank You apu,apnar video dekhe onek kichu sikhtechi,I hope apnar theke aro onk kichu sikhbo!",positive
Nice vla laglo apnr class,positive
Apu really khub valo laglo,positive
Alhamdulillah apu onek kichu sikhte parlam...apu simple complex compound niye ekta simple video ki deya jayonek try korsi hoyii naekta video diyen apu....karon eta skip koraw jacche na sob khanei lagche..so.if you make that video...that will vary helpful for me,
Tense ta jodi poraten khub valo hotw,positive
Mash allah,positive
just obak,neutral
Khub valo lage apnake and apnar English teaching. Thank u,positive
Apo can u make a video for class 4,positive
Sentence making class ta hole vlo hoto,positive
apnar jonno amar meye aj onek dure english spokene thank you so much apu,positive
Apu tnx alot my dear Tomar akane thake onk English language siklam,positive
Apnar porano onek valo lage apnar boi o pori ami,positive
Sobi thik chilo but ami bolty chai jeno aro slow vabe jeno bujano hoy jemonta amader sir ra kore. Thanks for making beautiful video,positive
Sis tumar teaching style ta wow& 10 minute school app ta onk helpful 1ta app ami nije onk din dore use krtesi app ta & frnd der o bolsi use krte,positive
Balo laglo,positive
Apu amr kase oxford book ase but Ami kisui bujhte parse nah please Apu aktu oxford book ta explained that,positive
"Apu apni kintu khub sundor vhaba English porata paren,,",positive
Tq dii vai,positive
"Apu onk valo hoiche,amader afifa always apnar video dekhe.",positive
Hi apo Onek vlo lage apnar class,positive
Onek vlo laglo apu,positive
Apu amar somossha holo! Je ekta English word er onek rokom mane hoe seya nie ekta class korle valo hoto plz,positive
"Ami just unake dekhi, shikhina",neutral
Apu one helpful video.,positive
Face er expression,neutral
apu ami onek kichu shikhisi apnar ei word theke,positive
Apu onek onek donnobad,positive
Apu onek thanks apnake,positive
"Onk Shundhor apu,,,,Tnq Very much,,ato sundhor kora bujharor jonno,,,️️",positive
Tnq u apu My idol,positive
Khub valo akti class,positive
Tanku apu for your suggestions,positive
excause me masallah madam apnar sikhanoyar bongima r kotha bolar styleta excelant r apni kub sondaro botya.,positive
Apnar kotha gulo onek interesting.,positive
Apu apnar expression ta darun..smiley,positive
"Apu,amra 10 minute school a online batch class gula te Commerce er class chai chai chai... Please...,....",positive
Mam akta hard word dia spoking class koran plz,neutral
Apu tmr kotha onk valo lage..love u apu..️️,positive
"Api,,,,,,,,,,tmr ai sentence gulo theke onk kicu sikhar ace,thq u api",positive
Apu ami apnar speaking english course a goto kal admit hoyesi but ami ekhono facebook group a add hoyni.please add me,neutral
apu onek donnobad apnake,positive
anek sundor hoise api,positive
Apu tense teakea class deben,neutral
Apni khub valo kore bujhate paren.,positive
Apu ami apnar take onak spoken sikahi.,positive
Khub sundar ami apnar sob class dekhi,positive
apu apnar moto techer pele amar teke balo student keo hote parto na tnx apu,positive
Apu apnake je kivabe je tnx janabo....apni amader onek help koren.....aii kotha gulo bole... Thank you so much apu,positive
Unlimited cute tumi apu️,neutral
Apu ami Class : 5 er spoken shikte cai,positive
Ape ki nic kotha bolen uf,neutral
"thank you apu apanr sentence , and sapek kub besi balo lagee",positive
Sobai valo thakben abr onk din por dekha hobe atar English ki apu,neutral
Apu onek valo lagse,positive
Tnq so mush mem,positive
Apu valo laglo,positive
Thanks apu,positive
tnq apu,positive
Apu onek balo,positive
Apo english and bangla bolar time show hole valo hoto,negative
Thank apaa,positive
Apu ami valo word pari but sentence milate parina,neutral
Love you apo,positive
apu apni onak sundhor really.....,positive
Tnx you so much a soking English,positive
Apu ami and amar cousin mele apner vedio golo deke. Please welcome her,positive
Apu Apni kub shundor kora kotha bolen,positive
nice bujano,positive
AV GDU CCT,neutral
Shit to kothay,negative
gon chin nota ki vhabe lekhi,neutral
jo..fala,neutral
jolsap dawa ta shakaien vi,neutral
Ami nibo koto taka,neutral
BAY AMAR KRI BOR TA OLTA BALTA,neutral
o kivae likhbo,neutral
Vaya molla banan hoyca na,neutral
amer bangla tiping a somossa,neutral
ONEK KOTHIN,negative
amar bijoy kybord nai,neutral
R fila j fola ki korey hoy,neutral
amke deoa jabe?,neutral
"Vi apnar YouTube Canal ta den,,",neutral
apnar akta asa puron hoi nai aro valo kora bogaban ok ms school,negative
vai amra live cllas cai,positive
Shala video short kor,negative
apni valo comment patata paran na ba atop,negative
jo fala likjte parci na,neutral
Bahhh,positive
plz plz,neutral
tomi koi thaken,neutral
Obro diye likha shekhan,neutral
vhai ami o kar dite parci na jmn soner tomar ai o akr ta ki vabe dibo,neutral
via e kar oi kar kothay,neutral
umo lethe pari na,neutral
amar ak ta somosa asa ক likta gala ল asa microsofta kinto coment boksa thik moto kag kosa ki korbo,neutral
bangla coment korte parlam na,neutral
amk charte golo dile khub vlo hoto,neutral
Fb group o anpar YouTube channel theke upokrito holam,positive
জন্য ki korey lik bo,neutral
vai ki vabe raf dibo,neutral
Dada tomar number ta pawa jbe,neutral
Shit ta koi pabo,neutral
Fb group নামকি,neutral
Istarn likleo aase na,negative
na vai hoi na,negative
Ami kormi likle aase na,negative
Apne aobgula borno type kore shekhan nai. Dudhu asdfghjkl mane majher borno gula type kore shekhaisen,negative
Koma kemne likbo,neutral
Banglai ও ki vabe likhte hoi?,neutral
Pls somaden den,neutral
vai amr e kar ta ase nai onk try korsi but hoy na,negative
vai amar akhane sutonnymj deoar por front dite jaiya juttokkho ashe karonta janaben...???,neutral
chat er file ta den bhai...,neutral
Vai ৺ata kmne likbo,neutral
Bangla A OI Kivaba Likbo,neutral
Buja jai na bro,negative
Baia bijoy 52 install hoyna kno ami google chase korlam tapor o ase na,negative
amar lagbe,neutral
vaiya akta sentence ses korar pore dari dibo ki vabe,neutral
,neutral
vaiya word file ta kindly dewa jabe?,neutral
Sir DVD ta ki pawya jabe??,neutral
Bakshow lekhbo ki vabe Bhai?,neutral
Bhalo,positive
ami india taka amar keyboard a bengali word nai .tai pleas english keyboard a typeing korun,negative
"vai O'' kar OU' kar diye world likhte parsina. as like , kothai , gourov likhte parsina.. help korben please",neutral
Juktho borno Shet or pic gula dile balo hoi,neutral
How to collect bangle typing sheet?,neutral
vaia ami dari dite parci na,negative
vai amer aktha somosa ahse apnar phon nambur ta den,negative
English a type sekhan,negative
ms office and excel full cource vedio lagbe.dewa jabe?,neutral
fine apnar kotha gola valo lagse,positive
o kar kivabe dibo?,neutral
ami apnader 6 ghontar je vedio ache m office er upor oita nite chai,neutral
coment a bangla likbo ki kore?,neutral
kist kothay ???,neutral
how to give full stop in bangla,neutral
apnader sheet ta pai nai,negative
vai computer a tule tule dekanna,negative
apnar kotah gula valo lageh bhaiaaa,positive
Jofola kivabe dibo,neutral
bunlar nası yazıyor,neutral
"sir ami kokhon English, bangla typing kore tokhon vul leklo o vule dekhai na,, mane a world ar nece lal dak asce na.. ai ta kivabe a thik korbo piz bolen?",negative
20 m ar kaj 30 m a korlan kn,negative
vai apnr video take onek kisu shiksi,positive
seii video,positive
bijoy bahabnno software ta dan,neutral
Electronic lekhar nium den,neutral
Bijoy 52 er cod ta deya jabe,neutral
Vai প্র aita kmne dibo,neutral
Dari ta dibo kivabe??,neutral
vai amar sutonny mj aca na ki korbo plz help me.,negative
Vi Amar PC te Bijoy classic nai. Koronio ki,negative
Via ref lekhte parena,negative
Onek shundho Kore bujai valo laglo,positive
Khub sundor video,positive
"bridha, tarjoni, modhoma, anamika, konishtha 5 fingers name",neutral
vai gyan kivabe lekhe partasi na...biggyan er,negative
"Vhi amr computer nei.! But amr onek iccha bangla typing sikha, but ami bijoy keyboard diye android e kivhabe sikhbo kono vhabe ki possible?",neutral
bangla okar kme hobe vaia,neutral
Insallha apnar video follow kore ami parce,positive
ami work assistant ar bangla likhte somossa hoy atar somadan ki bolle valo hoy,neutral
"Vai ami chodrobido, khondoto likhte Pari na",negative
vai apner fb id ta lagba follower hota chai,neutral
SO BETTAR VIDEO,positive
Sar ami nutun bangla typing shiktam Amake kuno upay daw,neutral
Vaiya অ আ তো onek kothin mone hosse.,negative
Bro onek gula parchi nah etar upay ki................???,negative
viya ami poribase ta bangly kivaby lekhbo. plz ans me,neutral
bi bijoy bayanno softer kibaba downlord korbo,neutral
A sit golo ki pawa jabe??,neutral
baiya ami lekar chart ta kutay pabo,neutral
A sit golo ki pawa jabe??,neutral
"Vai amr bijoy clasic a SutonnyOMJ thake na,,,, abr unicode a SutonnyOMJ thake etar solve jodi diten plz vai",neutral
jukto bornor sheet to bujha jaina sirr,negative
"vai bijoy classic diye type korle english word ase tao abar botam er ulto word, kivabe solve krbo vai?",neutral
alda bangla word sheet ta download link dorkar,neutral
computer dea ki kore messenger a banglay sms korbo..........,neutral
thanks dada,positive
Apnak many many thanks,positive
bisurgo likhte parina kivabe likhbo,negative
"Vaiya, Apnader phone number ta diben...........Please......",neutral
AMI ONNO KOTHAO BANGLA TYPE KHORTE PARCHINA,neutral
Apner MS note file ta diben plz tutulbd100plus@gmail.com,neutral
Onek sundor video.,positive
BIJOY 52 te kivabe Dhukbo,neutral
apnar sound kwality tik koren,negative
Bhaiya Ame uvoy site likhye chai,neutral
BIJOY BAYANNO ER LINK TA DEWA JABE?,neutral
thank u sir onk upokar holo,positive
chart ta koi dada,neutral
sutonny Mj jodi na thake tahole kivabe anbo sutonny omj ase windose 10 a,neutral
Thank you vai anoek kisu shiklam,positive
"Ami Bijoy bayanno install korte parina, windows 10",negative
india te ki dvd ta paoya jabe,neutral
Valo laglo,positive
Vai on of kora sikain fasty computer and doren konu kicou pinte kiba be kore plzz bolben,negative
bojoy bayannoi 2016 download korte parchi na.,negative
As-Salamu Alaykum. Bai Laptop Balo Kunti chinbo Ki Kore Bai A Subject Niya Kunu kichu Janen.Janale Bai Upkrito Hatam place Bai Bolben.,neutral
bhai ami condro bindo lekte parina keno..?,negative
"Mobile diye ki bangla tayping kora jay, gele kibe korbo aktto janiye diben.",neutral
Bangla likhbo kivabe facebook e? Avro badhe. Bijoy diye,neutral
Lekhar style kibhabe change korbo,neutral
vai amar keboard ref ashe na keno,neutral
ami jodi sob lekhai unicode diye likhi tahole ki prlm hobe jante chai,neutral
amer lenovo 10 genaration amr dvd system nai .ami kive nite pari?,neutral
bhai উপস্থিত ki diye likbo janaben plz,neutral
dvd price kato,neutral
pendrive newa jabee?,neutral
Vayya jokto borner sheet ta kothai pacci na tw,neutral
পত্র sobdo ti bijoy banno te likbo kivabe,neutral
bebohar banan kivabe likhbo?mane jo fola kivabe bosabo?,neutral
Unicoad diye net off net sob jsigai hobena ?,neutral
VAI APNAR MOTO SETTING KORAR POROW AMAR REF PROBLEM SOLUTION HIY NAY .PLZ HELP ME .....01828491602,negative
tnx vai,positive
thank u so much vaia.. Ami 1 ghontai total typing sikhe felsi,positive
Vai a4tech kebord diye bangla write korbo kemone,neutral
Dari ta kivabe dibo vaiya..,neutral
permanent add kivabe bangla hobe,neutral
BHai apni Ekta pain tutorial baniyechen. Aro development chacchi.,negative
"vai, o kar r ou kar kivabe dibo?",neutral
Nice Biedeo,positive
tnx vai,positive
Vaiya e likka ta bul hoye gele computer e kon jaigai giye kate abr thik kore lekka jabe..,negative
Onk sundor vdo,positive
via plz rply banjon borno ' [umo] ki vabe lakhe,neutral
Vai amr sheet gulo lagdo ???,neutral
ami bangla type jonno key gulo mukhosto korar shite tar soft copy ta diben,neutral
Ami ekjonke kono page email korbo.... Ta hole seta ki vabe korbo......??????,neutral
bangla typing er niyom er link ta deben,neutral
Vaia Excel a Bangla lekhar por Amar phn a nile English lekha dekhay alemelo vabe..,neutral
valo lagce.,positive
"Bangla type e "" dibo kivabe please",neutral
Very nice vai Afnar ai Bangla tiphing cicu shikte pare shi,positive
bangla tayping ki na deke korte hobe?,neutral
vaiya amar fornt a ki problm hosse jukto borno dite parci na kano,negative
Shift ta kon button diye chapbo,neutral
akta pdf file den,negative
Bay ami zokon Unicode dea liki tokon akta somassa hossa ta holo G+d likla rosso e Asana ar akta somadan dan,neutral
tnx bhai video ta dewar jone,positive
Bijoy download link ta koi vai?,neutral
thanks bhai,positive
file ta koi vai ?,neutral
Windows 10 e kivabe bangla lekhbo?????? Plz bolen,neutral
"bhia, apnr instructions onujai kaz koreo kno solution pelm nh,,",negative
vai apnar sheet ta deya jabe ki,neutral
Via Bangla lekhte gele - ূ কার দতে গেলে হ আসে । ami windows 10 use kori plz- plz- plz request reply diben & solution plz-,neutral
Thanks dear valo legece,positive
Layout din pless,negative
Tnx emn video upohar deyar jonno,positive
vai L1 L2-L3 L4 -L5 AND R1-R2-R3-R4-R5 SAY,neutral
Vaya amar kub eca taiping korar but jokoney laptop ey bosi kicu kun kaj kore pore are kaj korar eca kore na. Ki korley amar eca hobe plz help me,neutral
"MS School , English short hand er vedio upload chai.",neutral
via. darun khub valo lagche ekhn sub e pari,positive
take love for this essential Video. Question টাইপ করার সময় মাঝে মাঝে অন্য font চলে আসে... এখন কি করা যায়?,positive
"download kivabe korbo vaii, windows 8.1",neutral
"Very nice for bangla type but you told that about 6 hourse the video , that is how much rate will be , please write me",positive
osadaron bro,positive
Onk thanks you bro apnake akta subscribe dilam Ami sikhe geci,positive
good vi,positive
patra and patri kivabe likhbo?,neutral
"viya ami jdi bijoy 52 software install na kre jdi avro use kri,ete ki prblm hbe??",neutral
bai apni je sit gulo dekhaiche ta ki vabe pabo?,neutral
Valo,positive
valo laglp vi .onk kisu shiklam,positive
vaiya jokto okhkhor kivabe likhbo.,neutral
vaiya sift ta videur moththe dekhte parcina valo vabe.,negative
Ok khuv valo laglo,positive
tnq...,positive
bhai ami classic diye likhte parchina bangla onno lekha asche but unicode diye bangla lekha hocche atar somadhan jodi diten bhai,negative
khub valo,positive
kindly vaiya jokto borno j likechen oi chart ta share korle sovidha hoi,neutral
Khub sundar,positive
vai Bijoy 21 diye ki kaj gulu hobe na??,neutral
Nc,positive
many many thanks vai,positive
ekti sentence er sese dari ki kore debo nuhjte par6i na plzz help,neutral
ai chart ta kivabe pabo ?,neutral
Tanks vaia,positive
"vaiya,, sheet ta to pelam na kothao?",negative
Sheet ta mail kora jaba ??or drive link plz.. jukto borner jonno,neutral
vai sheet gulu kothai pabo?,neutral
"গ‌য়ি‌ে giye likhte partesi na, please solve this problem. And this video is really helpful.",positive
tnxx vaia,positive
ko+ro=kro (bikroy) likha jacchena please help,neutral
Sheet ta kothay pabo?,neutral
"Avro keyboard dia likhle ki print hobe , R ekta holo Bijoy bawanno te unicode dia likhle ki print kora jabe...",neutral
"Unicode diye lekhte mne nai se khetre internet a kivabe babohar krbo cope kre...na hle ki abar 1st theke lekhte hbe,",neutral
Vai pdf ta dile valo hoto,neutral
so nice baiia,positive
Thank you vai,positive
pdf file ta passina?,neutral
aponar sheet kothai? khuje pailam na.,negative
Sir bangla font. Ki vabe chang korbo,neutral
****** sir tutorial a red circle gulo kon software a kor chhen. Please please bolen,neutral
Vaiya sheet ta kivabe pabo??,neutral
nice video vaiya,positive
"vaiya amr pdf ta lagbe,please",neutral
Tnx vai,positive
bhaia apanar typing ar sheet ta pelam na to ...so aktu deoa jabe ..,neutral
"Joss, khub valo, hoice vaia",positive
Sheet paitachi na keno? kew ki link ta dite parben?,neutral
tnq onk help pelam bro,positive
thanx.,positive
vaiya onno kuthao giye banglay likhte parchi na ... jei okkhor a chap dei onno okkhor lekha hoy ektu bolben plz,negative
Assalamualaikum.... Onek onek shukria,positive
"ref asche na sir, could you solve it plz?",negative
Thanks via..onek opokar holo,positive
"vai ami shekhar jonno walton keybord kinesi kintu sheta diye shor borno lekhte partesina, ami ekhon ki korbo?",neutral
"Kunu borno er satey ekar ,rosoikar dile ta ashena , pore onno borno likle tokon ekar chole ashe. Er jonno ki korbo ?",neutral
"apnar sheets er link ta den, please",neutral
"apnar vedio to 30 mins er , taile kmne 20 mins a kivabe shikhaben?",negative
"Unicode er jnno kon app install krte hbe? R ami jkhn ""র"" type kori tokhn ""ও'' ase eta kno ase n eta jno na ase ejnno ki korte hbe?",neutral
bhai ami unicode use korchi.........ar unicode a amr ref dite problem hocche. ref deya jacche. Bangla Classic a kono problem hocche na. shudhu unicode ei hocche. r apni jei solution dilen oita diyeo kaaj hocche na.,neutral
Vai apnake onk onk dhonnobad..,positive
Video ta bananor jonno dhonno bad but vaiya ই টা লেখা জাইতেছে না কন বলবেন একটু প্লিজ,positive
"vaia ame jokhon ""New "" a jasci tokhon Microsoft word document asce na . please kindly advise please please",neutral
Thank you so muck vai. Bangla likhte parina. tai evabe lekhlam,positive
Valo laglo. thanks,positive
"bijoi bayannote bangla lekhar somoi ,ctrl+alt+B akbar chaple bangla hoi. kintu abar chaple taskbare English dekhai kintu English lekha hoi na. j chaple ”ল” hoi..Please help me..Sir",neutral
vaiya mouser curser ta ekto big kore nile amader dekhte subida hoto,negative
chart gulor pdf dile valo hoto sir fb group a post o kore dile valo hoto,negative
.. 2month class kore o eto vhalo vhabe bujini....,positive
shoja inverted comma kivabe dite hoy?,neutral
thanks vaia.ami ai video ta te dake onek successful . Thanks a lot,positive
onek upokirito holam,positive
Onek dhonnbad apnake,positive
"Bijoy Bangla Typing Tutorial 2018, Bijoy Bayanno Type Keyboard, Bijoy Typing Tutor, Bijoy Bangla Typing Practice, bijoy bayanno, bangla typing tutorial, bijoy bangla typing, বিজয় বায়ান্ন টাইপিং বাংলা টিউটোরিয়াল, বাংলা টাইপিং শিখুন, bijoy bangla tutorial, bangla typing, bijoy bayanno for windows 10, বাংলা টাইপ টিউটোরিয়াল, বাংলা টাইপ করার নিয়ম, bangla type tutorial bijoy, bangla type tutorial, Bangla Type in 20 Minutes, bijoy bayanno typing, bijoy bayanno tutorial, bijoy bangla typing tutorial, bangla type tutorial, typing tutorial, bangla typing tutorial bangla, বাংলা টাইপিং টিউটোরিয়াল, computer typing learning, bangla typing, computer typing, কম্পিউটারে বাংলা টাইপ করার নিয়ম, bijoy bangla typing tutorial, keyboard typing, typing, টাইপিং শেখার নিয়ম, computer bangla typing, how to type bangla in computer, keyboard tutorial, bangla keyboard typing tutorial, bangla type",neutral
.ajke onek kishui shikte parlam apnar theke. onekdin age bangla type shiksilam but akn vhule geshi tense a cilm job a ask krle ki blbo ta vebe. but aj onek kishu shiklam thanks again,positive
"বাংলা টাইপিং এ রেফ আসছে না, shift+A প্রেস করলে ️ এটা আসে, করণীয় কি? বিজয় কিবোর্ড এ stonny mj, bijoy classic",neutral
eto sundor tutorial er jonno apnk osongkho dhonnobad....ami shikhe giyechi onkta...jekhane ami asa pray chere diyechilam,positive
Bangla typing er instructions sheet tar documents ta diben please???,neutral
Alhamdulilha Vai Tutorial Khub Important Bagla Typing er jonno Donnobad,positive
"Jajakallah khairan, Khub upokar holo!!! Allah apnr vhalo koruk.",positive
Onnek sundor video,positive
vaiya onk valo laglo apner video,positive
"Bhai apnar karone ekhon bangla type korte ghontar por ghonta mor er dokane boshe theke pichi polapaan der tel malish kora lagey nah. Speed khubi kom but nijer ta nijei kori.time,money r tel shobi bache. Thanks a lot you are a life saver",positive
sotti vaiya osadoron..,positive
Vocous banker,negative
sob jhapsa,negative
Akta bed sounds ashe,negative
Hat tali dewar por tnx bole bose thaka ami,negative
Via apni jata koros dak disan sata sajano mabe apnar vul hoica,negative
Vi 19 .24.29 aku dakan please,neutral
ssc batch 20 cilam...ei electron binnash azk clr hoilo,positive
teacher jodi eivhabe bojhayto tahole student ontoto fail korto na,positive
Na bujle bujai dewa hoy?,neutral
Koto j upokar holooo,positive
Onak jos vab a bujay,positive
Hmm bojte parchi tahole,positive
Chaliye jao. Tumi anekdur jabe.,positive
Class gula 1st class &no.1,positive
Sir baticrom gola dekhan,neutral
Vai apnadr clss shera purai,positive
Nice.apnar number ta Dian.,neutral
sound kmn jno,negative
bhai mathai nosto,positive
vaia background sound ta check koiren,negative
Sound ta birrokto korlo akto,negative
Aro class chai.vai.hunder niti.aro onk,positive
ei ek shathay upload kora video gulay to kuj te selam,positive
S a kn 2 Ta takbe??,neutral
Osadaron vye,positive
ZOSSS,positive
Vaia 2 ta teacher keno jamela bedhea jasse ....alada alada koren ...1 sathe Keno ??,negative
Vai Hunder niti ta?,neutral
Vai koops 24x7,positive
Lenthanid and actinid ei ta bujaia den amar cohoto bai boltase plz plz plz plz,neutral
Ashadharon vayya Valo bujhse,positive
2022 dhakci viya but 1 s 2s 2p 3s 3p 4s 3d ai khany. 4s aga aslo kno. 3d er aga,neutral
Vai onek sound,negative
bhaiya avogadro shogkar maan nirnoy korar niom ta bolte paren,neutral
Bathroom e kemne thake?,neutral
 asa kori aro video deben,neutral
